,phase,indicator,group,state,subgroup,time_period,time_period_label,value,lowci,highci,confidence_interval,quartile_range,age,CASE_RATE,HOSPITALIZED_RATE,DEATH_RATE,date,period,CASE_COUNT,HOSPITALIZED_COUNT,DEATH_COUNT
28,1,Symptoms of Anxiety Disorder,By State,New York,New York,10,July 2 - July 7,34.7,30.4,39.2,30.4 - 39.2,33.0-35.3,50 - 59 years,,,,,,,,
29,1,Symptoms of Anxiety Disorder or Depressive Disorder,By State,New York,New York,10,July 2 - July 7,39.7,35.4,44,35.4 - 44.0,38.1-40.6,50 - 59 years,,,,,,,,
30,1,Symptoms of Depressive Disorder,By State,New York,New York,11,July 9 - July 14,25,21.1,29.1,21.1 - 29.1,24.1-27.2,50 - 59 years,,,,,,,,
31,1,Symptoms of Anxiety Disorder,By State,New York,New York,11,July 9 - July 14,34.2,29.2,39.6,29.2 - 39.6,31.1-34.2,50 - 59 years,,,,,,,,
32,1,Symptoms of Anxiety Disorder or Depressive Disorder,By State,New York,New York,11,July 9 - July 14,38.3,33.4,43.5,33.4 - 43.5,34.8-38.3,50 - 59 years,,,,,,,,
33,1,Symptoms of Depressive Disorder,By State,New York,New York,12,July 16 - July 21,29.3,25.1,33.8,25.1 - 33.8,26.0-29.3,50 - 59 years,,,,,,,,
34,1,Symptoms of Anxiety Disorder,By State,New York,New York,12,July 16 - July 21,36.2,31.6,41.1,31.6 - 41.1,35.6-38.4,50 - 59 years,,,,,,,,
35,1,Symptoms of Anxiety Disorder or Depressive Disorder,By State,New York,New York,12,July 16 - July 21,41.1,36,46.4,36.0 - 46.4,40.6-43.5,50 - 59 years,,,,,,,,
36,2,Symptoms of Depressive Disorder,By State,New York,New York,13,Aug 19 - Aug 31,22.5,19.7,25.4,19.7 - 25.4,21.0-23.8,50 - 59 years,,,,,,,,
37,2,Symptoms of Anxiety Disorder,By State,New York,New York,13,Aug 19 - Aug 31,29.9,26.9,33.1,26.9 - 33.1,28.5-30.6,50 - 59 years,,,,,,,,
38,2,Symptoms of Anxiety Disorder or Depressive Disorder,By State,New York,New York,13,Aug 19 - Aug 31,34.4,31.3,37.6,31.3 - 37.6,33.3-35.6,50 - 59 years,,,,,,,,
39,2,Symptoms of Depressive Disorder,By State,New York,New York,14,Sep 2 - Sep 14,25.1,21.6,28.8,21.6 - 28.8,23.3-26.5,50 - 59 years,,,,,,,,
40,2,Symptoms of Anxiety Disorder,By State,New York,New York,14,Sep 2 - Sep 14,33.5,29.7,37.5,29.7 - 37.5,33.5-36.9,50 - 59 years,,,,,,,,
41,2,Symptoms of Anxiety Disorder or Depressive Disorder,By State,New York,New York,14,Sep 2 - Sep 14,37.7,33.6,41.9,33.6 - 41.9,35.4-38.1,50 - 59 years,,,,,,,,
0,1,Symptoms of Depressive Disorder,By State,New York,New York,1,Apr 23 - May 5,28.7,24.6,33.1,24.6 - 33.1,24.1 - 28.7,60 - 69 years,,,,,,,,
1,1,Symptoms of Anxiety Disorder,By State,New York,New York,1,Apr 23 - May 5,36.1,32.1,40.2,32.1 - 40.2,31.7 - 37.0,60 - 69 years,,,,,,,,
2,1,Symptoms of Anxiety Disorder or Depressive Disorder,By State,New York,New York,1,Apr 23 - May 5,41.4,36.7,46.1,36.7 - 46.1,36.8 - 41.4,60 - 69 years,,,,,,,,
3,1,Symptoms of Depressive Disorder,By State,New York,New York,2,May 7 - May 12,29.2,24.2,34.6,24.2 - 34.6,25.7 - 35.5,60 - 69 years,,,,,,,,
4,1,Symptoms of Anxiety Disorder,By State,New York,New York,2,May 7 - May 12,33,27.7,38.5,27.7 - 38.5,31.6 - 38.3,60 - 69 years,,,,,,,,
5,1,Symptoms of Anxiety Disorder or Depressive Disorder,By State,New York,New York,2,May 7 - May 12,36.9,31.6,42.4,31.6 - 42.4,36.1 - 48.4,60 - 69 years,,,,,,,,
6,1,Symptoms of Depressive Disorder,By State,New York,New York,3,May 14 - May 19,23.8,20,28,20.0 - 28.0,23.3-25.6,60 - 69 years,,,,,,,,
7,1,Symptoms of Anxiety Disorder,By State,New York,New York,3,May 14 - May 19,26.8,23.1,30.8,23.1 - 30.8,25.3-27.4,60 - 69 years,,,,,,,,
8,1,Symptoms of Anxiety Disorder or Depressive Disorder,By State,New York,New York,3,May 14 - May 19,34.9,30.5,39.5,30.5 - 39.5,32.6-34.9,60 - 69 years,,,,,,,,
9,1,Symptoms of Depressive Disorder,By State,New York,New York,4,May 21 - May 26,23.7,20,27.8,20.0 - 27.8,23.0-25.8,60 - 69 years,,,,,,,,
10,1,Symptoms of Anxiety Disorder,By State,New York,New York,4,May 21 - May 26,30.6,26.8,34.5,26.8 - 34.5,28.7-30.6,60 - 69 years,,,,,,,,
11,1,Symptoms of Anxiety Disorder or Depressive Disorder,By State,New York,New York,4,May 21 - May 26,34.4,30.5,38.5,30.5 - 38.5,33.2-35.5,60 - 69 years,,,,,,,,
12,1,Symptoms of Depressive Disorder,By State,New York,New York,5,May 28 - June 2,24.5,21.3,27.9,21.3 - 27.9,24.4-26.8,60 - 69 years,,,,,,,,
13,1,Symptoms of Anxiety Disorder,By State,New York,New York,5,May 28 - June 2,29.8,26.4,33.4,26.4 - 33.4,29.7-31.7,60 - 69 years,,,,,,,,
14,1,Symptoms of Anxiety Disorder or Depressive Disorder,By State,New York,New York,5,May 28 - June 2,34.8,31.6,38.2,31.6 - 38.2,34.3-36.9,60 - 69 years,,,,,,,,
15,1,Symptoms of Depressive Disorder,By State,New York,New York,6,June 4 - June 9,28.5,24,33.2,24.0 - 33.2,27.3-30.3,60 - 69 years,,,,,,,,
16,1,Symptoms of Anxiety Disorder,By State,New York,New York,6,June 4 - June 9,36.3,30.9,41.9,30.9 - 41.9,32.8-36.3,60 - 69 years,,,,,,,,
17,1,Symptoms of Anxiety Disorder or Depressive Disorder,By State,New York,New York,6,June 4 - June 9,38.6,33.2,44.2,33.2 - 44.2,37.7-40.7,60 - 69 years,,,,,,,,
18,1,Symptoms of Depressive Disorder,By State,New York,New York,7,June 11 - June 16,23.4,19.6,27.5,19.6 - 27.5,21.8-23.9,60 - 69 years,,,,,,,,
19,1,Symptoms of Anxiety Disorder,By State,New York,New York,7,June 11 - June 16,28.7,24.3,33.3,24.3 - 33.3,27.4-30.5,60 - 69 years,,,,,,,,
20,1,Symptoms of Anxiety Disorder or Depressive Disorder,By State,New York,New York,7,June 11 - June 16,32.9,28.1,37.8,28.1 - 37.8,32.3-34.9,60 - 69 years,,,,,,,,
21,1,Symptoms of Depressive Disorder,By State,New York,New York,8,June 18 - June 23,24.2,20.8,27.9,20.8 - 27.9,22.5-25.0,60 - 69 years,,,,,,,,
22,1,Symptoms of Anxiety Disorder,By State,New York,New York,8,June 18 - June 23,26.9,23.6,30.5,23.6 - 30.5,21.3-27.7,60 - 69 years,,,,,,,,
23,1,Symptoms of Anxiety Disorder or Depressive Disorder,By State,New York,New York,8,June 18 - June 23,32.9,29.4,36.7,29.4 - 36.7,31.8-34.4,60 - 69 years,,,,,,,,
24,1,Symptoms of Depressive Disorder,By State,New York,New York,9,June 25 - June 30,23.9,20.6,27.4,20.6 - 27.4,23.9-26.0,60 - 69 years,,,,,,,,
25,1,Symptoms of Anxiety Disorder,By State,New York,New York,9,June 25 - June 30,30.6,27,34.4,27.0 - 34.4,29.5-32.2,60 - 69 years,,,,,,,,
26,1,Symptoms of Anxiety Disorder or Depressive Disorder,By State,New York,New York,9,June 25 - June 30,34.3,30.5,38.3,30.5 - 38.3,34.1-35.9,60 - 69 years,,,,,,,,
27,1,Symptoms of Depressive Disorder,By State,New York,New York,10,July 2 - July 7,28.5,25,32.1,25.0 - 32.1,26.8-29.3,60 - 69 years,,,,,,,,
28,1,Symptoms of Anxiety Disorder,By State,New York,New York,10,July 2 - July 7,34.7,30.4,39.2,30.4 - 39.2,33.0-35.3,60 - 69 years,,,,,,,,
29,1,Symptoms of Anxiety Disorder or Depressive Disorder,By State,New York,New York,10,July 2 - July 7,39.7,35.4,44,35.4 - 44.0,38.1-40.6,60 - 69 years,,,,,,,,
30,1,Symptoms of Depressive Disorder,By State,New York,New York,11,July 9 - July 14,25,21.1,29.1,21.1 - 29.1,24.1-27.2,60 - 69 years,,,,,,,,
31,1,Symptoms of Anxiety Disorder,By State,New York,New York,11,July 9 - July 14,34.2,29.2,39.6,29.2 - 39.6,31.1-34.2,60 - 69 years,,,,,,,,
32,1,Symptoms of Anxiety Disorder or Depressive Disorder,By State,New York,New York,11,July 9 - July 14,38.3,33.4,43.5,33.4 - 43.5,34.8-38.3,60 - 69 years,,,,,,,,
33,1,Symptoms of Depressive Disorder,By State,New York,New York,12,July 16 - July 21,29.3,25.1,33.8,25.1 - 33.8,26.0-29.3,60 - 69 years,,,,,,,,
34,1,Symptoms of Anxiety Disorder,By State,New York,New York,12,July 16 - July 21,36.2,31.6,41.1,31.6 - 41.1,35.6-38.4,60 - 69 years,,,,,,,,
35,1,Symptoms of Anxiety Disorder or Depressive Disorder,By State,New York,New York,12,July 16 - July 21,41.1,36,46.4,36.0 - 46.4,40.6-43.5,60 - 69 years,,,,,,,,
36,2,Symptoms of Depressive Disorder,By State,New York,New York,13,Aug 19 - Aug 31,22.5,19.7,25.4,19.7 - 25.4,21.0-23.8,60 - 69 years,,,,,,,,
37,2,Symptoms of Anxiety Disorder,By State,New York,New York,13,Aug 19 - Aug 31,29.9,26.9,33.1,26.9 - 33.1,28.5-30.6,60 - 69 years,,,,,,,,
38,2,Symptoms of Anxiety Disorder or Depressive Disorder,By State,New York,New York,13,Aug 19 - Aug 31,34.4,31.3,37.6,31.3 - 37.6,33.3-35.6,60 - 69 years,,,,,,,,
39,2,Symptoms of Depressive Disorder,By State,New York,New York,14,Sep 2 - Sep 14,25.1,21.6,28.8,21.6 - 28.8,23.3-26.5,60 - 69 years,,,,,,,,
40,2,Symptoms of Anxiety Disorder,By State,New York,New York,14,Sep 2 - Sep 14,33.5,29.7,37.5,29.7 - 37.5,33.5-36.9,60 - 69 years,,,,,,,,
41,2,Symptoms of Anxiety Disorder or Depressive Disorder,By State,New York,New York,14,Sep 2 - Sep 14,37.7,33.6,41.9,33.6 - 41.9,35.4-38.1,60 - 69 years,,,,,,,,
0,1,Symptoms of Depressive Disorder,By State,New York,New York,1,Apr 23 - May 5,28.7,24.6,33.1,24.6 - 33.1,24.1 - 28.7,70 - 79 years,,,,,,,,
1,1,Symptoms of Anxiety Disorder,By State,New York,New York,1,Apr 23 - May 5,36.1,32.1,40.2,32.1 - 40.2,31.7 - 37.0,70 - 79 years,,,,,,,,
2,1,Symptoms of Anxiety Disorder or Depressive Disorder,By State,New York,New York,1,Apr 23 - May 5,41.4,36.7,46.1,36.7 - 46.1,36.8 - 41.4,70 - 79 years,,,,,,,,
3,1,Symptoms of Depressive Disorder,By State,New York,New York,2,May 7 - May 12,29.2,24.2,34.6,24.2 - 34.6,25.7 - 35.5,70 - 79 years,,,,,,,,
4,1,Symptoms of Anxiety Disorder,By State,New York,New York,2,May 7 - May 12,33,27.7,38.5,27.7 - 38.5,31.6 - 38.3,70 - 79 years,,,,,,,,
5,1,Symptoms of Anxiety Disorder or Depressive Disorder,By State,New York,New York,2,May 7 - May 12,36.9,31.6,42.4,31.6 - 42.4,36.1 - 48.4,70 - 79 years,,,,,,,,
6,1,Symptoms of Depressive Disorder,By State,New York,New York,3,May 14 - May 19,23.8,20,28,20.0 - 28.0,23.3-25.6,70 - 79 years,,,,,,,,
7,1,Symptoms of Anxiety Disorder,By State,New York,New York,3,May 14 - May 19,26.8,23.1,30.8,23.1 - 30.8,25.3-27.4,70 - 79 years,,,,,,,,
8,1,Symptoms of Anxiety Disorder or Depressive Disorder,By State,New York,New York,3,May 14 - May 19,34.9,30.5,39.5,30.5 - 39.5,32.6-34.9,70 - 79 years,,,,,,,,
9,1,Symptoms of Depressive Disorder,By State,New York,New York,4,May 21 - May 26,23.7,20,27.8,20.0 - 27.8,23.0-25.8,70 - 79 years,,,,,,,,
10,1,Symptoms of Anxiety Disorder,By State,New York,New York,4,May 21 - May 26,30.6,26.8,34.5,26.8 - 34.5,28.7-30.6,70 - 79 years,,,,,,,,
11,1,Symptoms of Anxiety Disorder or Depressive Disorder,By State,New York,New York,4,May 21 - May 26,34.4,30.5,38.5,30.5 - 38.5,33.2-35.5,70 - 79 years,,,,,,,,
12,1,Symptoms of Depressive Disorder,By State,New York,New York,5,May 28 - June 2,24.5,21.3,27.9,21.3 - 27.9,24.4-26.8,70 - 79 years,,,,,,,,
13,1,Symptoms of Anxiety Disorder,By State,New York,New York,5,May 28 - June 2,29.8,26.4,33.4,26.4 - 33.4,29.7-31.7,70 - 79 years,,,,,,,,
14,1,Symptoms of Anxiety Disorder or Depressive Disorder,By State,New York,New York,5,May 28 - June 2,34.8,31.6,38.2,31.6 - 38.2,34.3-36.9,70 - 79 years,,,,,,,,
15,1,Symptoms of Depressive Disorder,By State,New York,New York,6,June 4 - June 9,28.5,24,33.2,24.0 - 33.2,27.3-30.3,70 - 79 years,,,,,,,,
16,1,Symptoms of Anxiety Disorder,By State,New York,New York,6,June 4 - June 9,36.3,30.9,41.9,30.9 - 41.9,32.8-36.3,70 - 79 years,,,,,,,,
17,1,Symptoms of Anxiety Disorder or Depressive Disorder,By State,New York,New York,6,June 4 - June 9,38.6,33.2,44.2,33.2 - 44.2,37.7-40.7,70 - 79 years,,,,,,,,
18,1,Symptoms of Depressive Disorder,By State,New York,New York,7,June 11 - June 16,23.4,19.6,27.5,19.6 - 27.5,21.8-23.9,70 - 79 years,,,,,,,,
19,1,Symptoms of Anxiety Disorder,By State,New York,New York,7,June 11 - June 16,28.7,24.3,33.3,24.3 - 33.3,27.4-30.5,70 - 79 years,,,,,,,,
20,1,Symptoms of Anxiety Disorder or Depressive Disorder,By State,New York,New York,7,June 11 - June 16,32.9,28.1,37.8,28.1 - 37.8,32.3-34.9,70 - 79 years,,,,,,,,
21,1,Symptoms of Depressive Disorder,By State,New York,New York,8,June 18 - June 23,24.2,20.8,27.9,20.8 - 27.9,22.5-25.0,70 - 79 years,,,,,,,,
22,1,Symptoms of Anxiety Disorder,By State,New York,New York,8,June 18 - June 23,26.9,23.6,30.5,23.6 - 30.5,21.3-27.7,70 - 79 years,,,,,,,,
23,1,Symptoms of Anxiety Disorder or Depressive Disorder,By State,New York,New York,8,June 18 - June 23,32.9,29.4,36.7,29.4 - 36.7,31.8-34.4,70 - 79 years,,,,,,,,
24,1,Symptoms of Depressive Disorder,By State,New York,New York,9,June 25 - June 30,23.9,20.6,27.4,20.6 - 27.4,23.9-26.0,70 - 79 years,,,,,,,,
25,1,Symptoms of Anxiety Disorder,By State,New York,New York,9,June 25 - June 30,30.6,27,34.4,27.0 - 34.4,29.5-32.2,70 - 79 years,,,,,,,,
26,1,Symptoms of Anxiety Disorder or Depressive Disorder,By State,New York,New York,9,June 25 - June 30,34.3,30.5,38.3,30.5 - 38.3,34.1-35.9,70 - 79 years,,,,,,,,
27,1,Symptoms of Depressive Disorder,By State,New York,New York,10,July 2 - July 7,28.5,25,32.1,25.0 - 32.1,26.8-29.3,70 - 79 years,,,,,,,,
28,1,Symptoms of Anxiety Disorder,By State,New York,New York,10,July 2 - July 7,34.7,30.4,39.2,30.4 - 39.2,33.0-35.3,70 - 79 years,,,,,,,,
29,1,Symptoms of Anxiety Disorder or Depressive Disorder,By State,New York,New York,10,July 2 - July 7,39.7,35.4,44,35.4 - 44.0,38.1-40.6,70 - 79 years,,,,,,,,
30,1,Symptoms of Depressive Disorder,By State,New York,New York,11,July 9 - July 14,25,21.1,29.1,21.1 - 29.1,24.1-27.2,70 - 79 years,,,,,,,,
31,1,Symptoms of Anxiety Disorder,By State,New York,New York,11,July 9 - July 14,34.2,29.2,39.6,29.2 - 39.6,31.1-34.2,70 - 79 years,,,,,,,,
32,1,Symptoms of Anxiety Disorder or Depressive Disorder,By State,New York,New York,11,July 9 - July 14,38.3,33.4,43.5,33.4 - 43.5,34.8-38.3,70 - 79 years,,,,,,,,
33,1,Symptoms of Depressive Disorder,By State,New York,New York,12,July 16 - July 21,29.3,25.1,33.8,25.1 - 33.8,26.0-29.3,70 - 79 years,,,,,,,,
34,1,Symptoms of Anxiety Disorder,By State,New York,New York,12,July 16 - July 21,36.2,31.6,41.1,31.6 - 41.1,35.6-38.4,70 - 79 years,,,,,,,,
35,1,Symptoms of Anxiety Disorder or Depressive Disorder,By State,New York,New York,12,July 16 - July 21,41.1,36,46.4,36.0 - 46.4,40.6-43.5,70 - 79 years,,,,,,,,
36,2,Symptoms of Depressive Disorder,By State,New York,New York,13,Aug 19 - Aug 31,22.5,19.7,25.4,19.7 - 25.4,21.0-23.8,70 - 79 years,,,,,,,,
37,2,Symptoms of Anxiety Disorder,By State,New York,New York,13,Aug 19 - Aug 31,29.9,26.9,33.1,26.9 - 33.1,28.5-30.6,70 - 79 years,,,,,,,,
38,2,Symptoms of Anxiety Disorder or Depressive Disorder,By State,New York,New York,13,Aug 19 - Aug 31,34.4,31.3,37.6,31.3 - 37.6,33.3-35.6,70 - 79 years,,,,,,,,
39,2,Symptoms of Depressive Disorder,By State,New York,New York,14,Sep 2 - Sep 14,25.1,21.6,28.8,21.6 - 28.8,23.3-26.5,70 - 79 years,,,,,,,,
40,2,Symptoms of Anxiety Disorder,By State,New York,New York,14,Sep 2 - Sep 14,33.5,29.7,37.5,29.7 - 37.5,33.5-36.9,70 - 79 years,,,,,,,,
41,2,Symptoms of Anxiety Disorder or Depressive Disorder,By State,New York,New York,14,Sep 2 - Sep 14,37.7,33.6,41.9,33.6 - 41.9,35.4-38.1,70 - 79 years,,,,,,,,
0,1,Symptoms of Depressive Disorder,By State,New York,New York,1,Apr 23 - May 5,28.7,24.6,33.1,24.6 - 33.1,24.1 - 28.7,80 years and above,,,,,,,,
1,1,Symptoms of Anxiety Disorder,By State,New York,New York,1,Apr 23 - May 5,36.1,32.1,40.2,32.1 - 40.2,31.7 - 37.0,80 years and above,,,,,,,,
2,1,Symptoms of Anxiety Disorder or Depressive Disorder,By State,New York,New York,1,Apr 23 - May 5,41.4,36.7,46.1,36.7 - 46.1,36.8 - 41.4,80 years and above,,,,,,,,
3,1,Symptoms of Depressive Disorder,By State,New York,New York,2,May 7 - May 12,29.2,24.2,34.6,24.2 - 34.6,25.7 - 35.5,80 years and above,,,,,,,,
4,1,Symptoms of Anxiety Disorder,By State,New York,New York,2,May 7 - May 12,33,27.7,38.5,27.7 - 38.5,31.6 - 38.3,80 years and above,,,,,,,,
5,1,Symptoms of Anxiety Disorder or Depressive Disorder,By State,New York,New York,2,May 7 - May 12,36.9,31.6,42.4,31.6 - 42.4,36.1 - 48.4,80 years and above,,,,,,,,
6,1,Symptoms of Depressive Disorder,By State,New York,New York,3,May 14 - May 19,23.8,20,28,20.0 - 28.0,23.3-25.6,80 years and above,,,,,,,,
7,1,Symptoms of Anxiety Disorder,By State,New York,New York,3,May 14 - May 19,26.8,23.1,30.8,23.1 - 30.8,25.3-27.4,80 years and above,,,,,,,,
8,1,Symptoms of Anxiety Disorder or Depressive Disorder,By State,New York,New York,3,May 14 - May 19,34.9,30.5,39.5,30.5 - 39.5,32.6-34.9,80 years and above,,,,,,,,
9,1,Symptoms of Depressive Disorder,By State,New York,New York,4,May 21 - May 26,23.7,20,27.8,20.0 - 27.8,23.0-25.8,80 years and above,,,,,,,,
10,1,Symptoms of Anxiety Disorder,By State,New York,New York,4,May 21 - May 26,30.6,26.8,34.5,26.8 - 34.5,28.7-30.6,80 years and above,,,,,,,,
11,1,Symptoms of Anxiety Disorder or Depressive Disorder,By State,New York,New York,4,May 21 - May 26,34.4,30.5,38.5,30.5 - 38.5,33.2-35.5,80 years and above,,,,,,,,
12,1,Symptoms of Depressive Disorder,By State,New York,New York,5,May 28 - June 2,24.5,21.3,27.9,21.3 - 27.9,24.4-26.8,80 years and above,,,,,,,,
13,1,Symptoms of Anxiety Disorder,By State,New York,New York,5,May 28 - June 2,29.8,26.4,33.4,26.4 - 33.4,29.7-31.7,80 years and above,,,,,,,,
14,1,Symptoms of Anxiety Disorder or Depressive Disorder,By State,New York,New York,5,May 28 - June 2,34.8,31.6,38.2,31.6 - 38.2,34.3-36.9,80 years and above,,,,,,,,
15,1,Symptoms of Depressive Disorder,By State,New York,New York,6,June 4 - June 9,28.5,24,33.2,24.0 - 33.2,27.3-30.3,80 years and above,,,,,,,,
16,1,Symptoms of Anxiety Disorder,By State,New York,New York,6,June 4 - June 9,36.3,30.9,41.9,30.9 - 41.9,32.8-36.3,80 years and above,,,,,,,,
17,1,Symptoms of Anxiety Disorder or Depressive Disorder,By State,New York,New York,6,June 4 - June 9,38.6,33.2,44.2,33.2 - 44.2,37.7-40.7,80 years and above,,,,,,,,
18,1,Symptoms of Depressive Disorder,By State,New York,New York,7,June 11 - June 16,23.4,19.6,27.5,19.6 - 27.5,21.8-23.9,80 years and above,,,,,,,,
19,1,Symptoms of Anxiety Disorder,By State,New York,New York,7,June 11 - June 16,28.7,24.3,33.3,24.3 - 33.3,27.4-30.5,80 years and above,,,,,,,,
20,1,Symptoms of Anxiety Disorder or Depressive Disorder,By State,New York,New York,7,June 11 - June 16,32.9,28.1,37.8,28.1 - 37.8,32.3-34.9,80 years and above,,,,,,,,
21,1,Symptoms of Depressive Disorder,By State,New York,New York,8,June 18 - June 23,24.2,20.8,27.9,20.8 - 27.9,22.5-25.0,80 years and above,,,,,,,,
22,1,Symptoms of Anxiety Disorder,By State,New York,New York,8,June 18 - June 23,26.9,23.6,30.5,23.6 - 30.5,21.3-27.7,80 years and above,,,,,,,,
23,1,Symptoms of Anxiety Disorder or Depressive Disorder,By State,New York,New York,8,June 18 - June 23,32.9,29.4,36.7,29.4 - 36.7,31.8-34.4,80 years and above,,,,,,,,
24,1,Symptoms of Depressive Disorder,By State,New York,New York,9,June 25 - June 30,23.9,20.6,27.4,20.6 - 27.4,23.9-26.0,80 years and above,,,,,,,,
25,1,Symptoms of Anxiety Disorder,By State,New York,New York,9,June 25 - June 30,30.6,27,34.4,27.0 - 34.4,29.5-32.2,80 years and above,,,,,,,,
26,1,Symptoms of Anxiety Disorder or Depressive Disorder,By State,New York,New York,9,June 25 - June 30,34.3,30.5,38.3,30.5 - 38.3,34.1-35.9,80 years and above,,,,,,,,
27,1,Symptoms of Depressive Disorder,By State,New York,New York,10,July 2 - July 7,28.5,25,32.1,25.0 - 32.1,26.8-29.3,80 years and above,,,,,,,,
28,1,Symptoms of Anxiety Disorder,By State,New York,New York,10,July 2 - July 7,34.7,30.4,39.2,30.4 - 39.2,33.0-35.3,80 years and above,,,,,,,,
29,1,Symptoms of Anxiety Disorder or Depressive Disorder,By State,New York,New York,10,July 2 - July 7,39.7,35.4,44,35.4 - 44.0,38.1-40.6,80 years and above,,,,,,,,
30,1,Symptoms of Depressive Disorder,By State,New York,New York,11,July 9 - July 14,25,21.1,29.1,21.1 - 29.1,24.1-27.2,80 years and above,,,,,,,,
31,1,Symptoms of Anxiety Disorder,By State,New York,New York,11,July 9 - July 14,34.2,29.2,39.6,29.2 - 39.6,31.1-34.2,80 years and above,,,,,,,,
32,1,Symptoms of Anxiety Disorder or Depressive Disorder,By State,New York,New York,11,July 9 - July 14,38.3,33.4,43.5,33.4 - 43.5,34.8-38.3,80 years and above,,,,,,,,
33,1,Symptoms of Depressive Disorder,By State,New York,New York,12,July 16 - July 21,29.3,25.1,33.8,25.1 - 33.8,26.0-29.3,80 years and above,,,,,,,,
34,1,Symptoms of Anxiety Disorder,By State,New York,New York,12,July 16 - July 21,36.2,31.6,41.1,31.6 - 41.1,35.6-38.4,80 years and above,,,,,,,,
35,1,Symptoms of Anxiety Disorder or Depressive Disorder,By State,New York,New York,12,July 16 - July 21,41.1,36,46.4,36.0 - 46.4,40.6-43.5,80 years and above,,,,,,,,
36,2,Symptoms of Depressive Disorder,By State,New York,New York,13,Aug 19 - Aug 31,22.5,19.7,25.4,19.7 - 25.4,21.0-23.8,80 years and above,,,,,,,,
37,2,Symptoms of Anxiety Disorder,By State,New York,New York,13,Aug 19 - Aug 31,29.9,26.9,33.1,26.9 - 33.1,28.5-30.6,80 years and above,,,,,,,,
38,2,Symptoms of Anxiety Disorder or Depressive Disorder,By State,New York,New York,13,Aug 19 - Aug 31,34.4,31.3,37.6,31.3 - 37.6,33.3-35.6,80 years and above,,,,,,,,
39,2,Symptoms of Depressive Disorder,By State,New York,New York,14,Sep 2 - Sep 14,25.1,21.6,28.8,21.6 - 28.8,23.3-26.5,80 years and above,,,,,,,,
40,2,Symptoms of Anxiety Disorder,By State,New York,New York,14,Sep 2 - Sep 14,33.5,29.7,37.5,29.7 - 37.5,33.5-36.9,80 years and above,,,,,,,,
41,2,Symptoms of Anxiety Disorder or Depressive Disorder,By State,New York,New York,14,Sep 2 - Sep 14,37.7,33.6,41.9,33.6 - 41.9,35.4-38.1,80 years and above,,,,,,,,
0-17 years,,,,,,,,,,,,,,171.46,13.55,0.23,04-23-2020,1,,,
18-44 years,,,,,,,,,,,,,,1554.45,153.69,12.88,04-23-2020,1,,,
45-64 years,,,,,,,,,,,,,,2529.03,630.34,113.37,04-23-2020,1,,,
65-74 years,,,,,,,,,,,,,,2552.64,1192.5,364.17,04-23-2020,1,,,
75 and older years,,,,,,,,,,,,,,2976.74,1830.07,909.18,04-23-2020,1,,,
Citywide total,,,,,,,,,,,,,,1687.8,437.24,122.52,04-23-2020,1,,,
0-17 years,,,,,,,,,,,,,,180.44,13.84,0.29,04-24-2020,1,,,
18-44 years,,,,,,,,,,,,,,1600.77,159.33,13.44,04-24-2020,1,,,
45-64 years,,,,,,,,,,,,,,2611.61,650.13,117.6,04-24-2020,1,,,
65-74 years,,,,,,,,,,,,,,2627.88,1234.27,382.2,04-24-2020,1,,,
75 and older years,,,,,,,,,,,,,,3058.09,1899.17,949.95,04-24-2020,1,,,
Citywide total,,,,,,,,,,,,,,1740.01,452.39,127.95,04-24-2020,1,,,
0-17 years,,,,,,,,,,,,,,189.7,15.17,0.29,04-25-2020,1,,,
18-44 years,,,,,,,,,,,,,,1648.25,166.31,13.59,04-25-2020,1,,,
45-64 years,,,,,,,,,,,,,,2694.0,674.79,119.55,04-25-2020,1,,,
65-74 years,,,,,,,,,,,,,,2702.12,1287.77,390.06,04-25-2020,1,,,
75 and older years,,,,,,,,,,,,,,3141.28,1979.07,970.79,04-25-2020,1,,,
Citywide total,,,,,,,,,,,,,,1792.84,471.15,130.51,04-25-2020,1,,,
0-17 years,,,,,,,,,,,,,,194.62,15.17,0.29,04-26-2020,1,,,
18-44 years,,,,,,,,,,,,,,1675.94,166.54,14.01,04-26-2020,1,,,
45-64 years,,,,,,,,,,,,,,2744.49,675.52,124.66,04-26-2020,1,,,
65-74 years,,,,,,,,,,,,,,2746.03,1290.48,406.66,04-26-2020,1,,,
75 and older years,,,,,,,,,,,,,,3188.99,1983.27,1019.24,04-26-2020,1,,,
Citywide total,,,,,,,,,,,,,,1824.13,471.92,136.45,04-26-2020,1,,,
0-17 years,,,,,,,,,,,,,,201.98,15.63,0.29,04-27-2020,1,,,
18-44 years,,,,,,,,,,,,,,1705.26,167.58,14.21,04-27-2020,1,,,
45-64 years,,,,,,,,,,,,,,2799.35,681.7,127.43,04-27-2020,1,,,
65-74 years,,,,,,,,,,,,,,2795.67,1304.79,412.52,04-27-2020,1,,,
75 and older years,,,,,,,,,,,,,,3242.38,2009.78,1045.39,04-27-2020,1,,,
Citywide total,,,,,,,,,,,,,,1858.61,476.86,139.4,04-27-2020,1,,,
0-17 years,,,,,,,,,,,,,,205.86,15.81,0.29,04-28-2020,1,,,
18-44 years,,,,,,,,,,,,,,1722.48,169.01,14.3,04-28-2020,1,,,
45-64 years,,,,,,,,,,,,,,2827.9,688.51,128.84,04-28-2020,1,,,
