indicator,group,state,subgroup,week,week_label,value,lowci,highci,confidence_interval,quartile_range
Symptoms of Anxiety Disorder,By State,New Mexico,New Mexico,3,May 14 - May 19,29.6,25.4,34.2,25.4 - 34.2,28.9-36.1
Symptoms of Anxiety Disorder,By State,New York,New York,3,May 14 - May 19,26.8,23.1,30.8,23.1 - 30.8,25.3-27.4
Symptoms of Anxiety Disorder,By State,North Carolina,North Carolina,3,May 14 - May 19,28.4,23.4,33.9,23.4 - 33.9,27.5-28.8
Symptoms of Anxiety Disorder,By State,North Dakota,North Dakota,3,May 14 - May 19,26.2,19.7,33.5,19.7 - 33.5,25.3-27.4
Symptoms of Anxiety Disorder,By State,Ohio,Ohio,3,May 14 - May 19,26.2,22.5,30.2,22.5 - 30.2,25.3-27.4
Symptoms of Anxiety Disorder,By State,Oklahoma,Oklahoma,3,May 14 - May 19,25.2,19.8,31.3,19.8 - 31.3,19.0-25.2
Symptoms of Anxiety Disorder,By State,Oregon,Oregon,3,May 14 - May 19,24.2,20.3,28.4,20.3 - 28.4,19.0-25.2
Symptoms of Anxiety Disorder,By State,Pennsylvania,Pennsylvania,3,May 14 - May 19,25.8,22.3,29.5,22.3 - 29.5,25.3-27.4
Symptoms of Anxiety Disorder,By State,Rhode Island,Rhode Island,3,May 14 - May 19,23.9,18.8,29.6,18.8 - 29.6,19.0-25.2
Symptoms of Anxiety Disorder,By State,South Carolina,South Carolina,3,May 14 - May 19,28.5,23.8,33.5,23.8 - 33.5,27.5-28.8
Symptoms of Anxiety Disorder,By State,South Dakota,South Dakota,3,May 14 - May 19,22.3,16.4,29.1,16.4 - 29.1,19.0-25.2
Symptoms of Anxiety Disorder,By State,Tennessee,Tennessee,3,May 14 - May 19,24.8,20.5,29.5,20.5 - 29.5,19.0-25.2
Symptoms of Anxiety Disorder,By State,Texas,Texas,3,May 14 - May 19,28.8,26.1,31.7,26.1 - 31.7,27.5-28.8
Symptoms of Anxiety Disorder,By State,Utah,Utah,3,May 14 - May 19,26.1,22.4,30.1,22.4 - 30.1,25.3-27.4
Symptoms of Anxiety Disorder,By State,Vermont,Vermont,3,May 14 - May 19,25.8,21.5,30.4,21.5 - 30.4,25.3-27.4
Symptoms of Anxiety Disorder,By State,Virginia,Virginia,3,May 14 - May 19,26.8,23.3,30.6,23.3 - 30.6,25.3-27.4
Symptoms of Anxiety Disorder,By State,Washington,Washington,3,May 14 - May 19,28.9,25.8,32.1,25.8 - 32.1,28.9-36.1
Symptoms of Anxiety Disorder,By State,West Virginia,West Virginia,3,May 14 - May 19,29.3,22,37.4,22.0 - 37.4,28.9-36.1
Symptoms of Anxiety Disorder,By State,Wisconsin,Wisconsin,3,May 14 - May 19,23.4,18.8,28.5,18.8 - 28.5,19.0-25.2
Symptoms of Anxiety Disorder,By State,Wyoming,Wyoming,3,May 14 - May 19,24.1,17.7,31.6,17.7 - 31.6,19.0-25.2
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Alabama,Alabama,3,May 14 - May 19,25.2,20.5,30.3,20.5 - 30.3,23.8-29.7
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Alaska,Alaska,3,May 14 - May 19,32.7,27.8,37.9,27.8 - 37.9,32.6-34.9
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Arizona,Arizona,3,May 14 - May 19,32.1,28,36.3,28.0 - 36.3,29.8-32.5
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Arkansas,Arkansas,3,May 14 - May 19,35.2,30.9,39.7,30.9 - 39.7,35.0-44.3
Symptoms of Anxiety Disorder or Depressive Disorder,By State,California,California,3,May 14 - May 19,38.8,35.1,42.6,35.1 - 42.6,35.0-44.3
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Colorado,Colorado,3,May 14 - May 19,33.1,29.2,37.1,29.2 - 37.1,32.6-34.9
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Connecticut,Connecticut,3,May 14 - May 19,33.9,29.1,39.1,29.1 - 39.1,32.6-34.9
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Delaware,Delaware,3,May 14 - May 19,31.8,26.8,37.1,26.8 - 37.1,29.8-32.5
Symptoms of Anxiety Disorder or Depressive Disorder,By State,District of Columbia,District of Columbia,3,May 14 - May 19,37.3,29.7,45.4,29.7 - 45.4,35.0-44.3
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Florida,Florida,3,May 14 - May 19,33.5,30.2,37,30.2 - 37.0,32.6-34.9
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Georgia,Georgia,3,May 14 - May 19,33.6,29.1,38.3,29.1 - 38.3,32.6-34.9
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Hawaii,Hawaii,3,May 14 - May 19,29.1,23.4,35.4,23.4 - 35.4,23.8-29.7
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Idaho,Idaho,3,May 14 - May 19,27.6,22.5,33.2,22.5 - 33.2,23.8-29.7
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Illinois,Illinois,3,May 14 - May 19,35.2,31.1,39.4,31.1 - 39.4,35.0-44.3
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Indiana,Indiana,3,May 14 - May 19,37.3,32.4,42.5,32.4 - 42.5,35.0-44.3
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Iowa,Iowa,3,May 14 - May 19,23.8,19,29.1,19.0 - 29.1,23.8-29.7
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Kansas,Kansas,3,May 14 - May 19,31.1,27,35.4,27.0 - 35.4,29.8-32.5
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Kentucky,Kentucky,3,May 14 - May 19,35.5,30.7,40.4,30.7 - 40.4,35.0-44.3
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Louisiana,Louisiana,3,May 14 - May 19,34.2,28.3,40.6,28.3 - 40.6,32.6-34.9
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Maine,Maine,3,May 14 - May 19,34.2,28.5,40.1,28.5 - 40.1,32.6-34.9
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Maryland,Maryland,3,May 14 - May 19,32.7,28.8,36.8,28.8 - 36.8,32.6-34.9
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Massachusetts,Massachusetts,3,May 14 - May 19,32,28.8,35.4,28.8 - 35.4,29.8-32.5
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Michigan,Michigan,3,May 14 - May 19,35,30.7,39.5,30.7 - 39.5,35.0-44.3
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Minnesota,Minnesota,3,May 14 - May 19,29.7,25.2,34.5,25.2 - 34.5,23.8-29.7
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Mississippi,Mississippi,3,May 14 - May 19,44.3,37.4,51.3,37.4 - 51.3,35.0-44.3
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Missouri,Missouri,3,May 14 - May 19,35.4,29.6,41.6,29.6 - 41.6,35.0-44.3
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Montana,Montana,3,May 14 - May 19,29.7,24.4,35.4,24.4 - 35.4,23.8-29.7
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Nebraska,Nebraska,3,May 14 - May 19,26.2,21.5,31.3,21.5 - 31.3,23.8-29.7
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Nevada,Nevada,3,May 14 - May 19,36.9,32.8,41.2,32.8 - 41.2,35.0-44.3
Symptoms of Anxiety Disorder or Depressive Disorder,By State,New Hampshire,New Hampshire,3,May 14 - May 19,28.8,24.5,33.3,24.5 - 33.3,23.8-29.7
Symptoms of Anxiety Disorder or Depressive Disorder,By State,New Jersey,New Jersey,3,May 14 - May 19,39.3,34,44.8,34.0 - 44.8,35.0-44.3
Symptoms of Anxiety Disorder or Depressive Disorder,By State,New Mexico,New Mexico,3,May 14 - May 19,37.4,32.7,42.3,32.7 - 42.3,35.0-44.3
Symptoms of Anxiety Disorder or Depressive Disorder,By State,New York,New York,3,May 14 - May 19,34.9,30.5,39.5,30.5 - 39.5,32.6-34.9
Symptoms of Anxiety Disorder or Depressive Disorder,By State,North Carolina,North Carolina,3,May 14 - May 19,32.2,26.8,38,26.8 - 38.0,29.8-32.5
Symptoms of Anxiety Disorder or Depressive Disorder,By State,North Dakota,North Dakota,3,May 14 - May 19,31.9,24.9,39.4,24.9 - 39.4,29.8-32.5
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Ohio,Ohio,3,May 14 - May 19,33.9,28.5,39.5,28.5 - 39.5,32.6-34.9
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Oklahoma,Oklahoma,3,May 14 - May 19,29.8,24.2,35.9,24.2 - 35.9,29.8-32.5
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Oregon,Oregon,3,May 14 - May 19,31.7,27.8,35.7,27.8 - 35.7,29.8-32.5
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Pennsylvania,Pennsylvania,3,May 14 - May 19,30,26.1,34,26.1 - 34.0,29.8-32.5
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Rhode Island,Rhode Island,3,May 14 - May 19,26.2,20.9,32,20.9 - 32.0,23.8-29.7
Symptoms of Anxiety Disorder or Depressive Disorder,By State,South Carolina,South Carolina,3,May 14 - May 19,31.3,26.6,36.3,26.6 - 36.3,29.8-32.5
Symptoms of Anxiety Disorder or Depressive Disorder,By State,South Dakota,South Dakota,3,May 14 - May 19,27.8,21.1,35.2,21.1 - 35.2,23.8-29.7
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Tennessee,Tennessee,3,May 14 - May 19,32.5,27.9,37.4,27.9 - 37.4,29.8-32.5
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Texas,Texas,3,May 14 - May 19,34.8,31.8,37.9,31.8 - 37.9,32.6-34.9
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Utah,Utah,3,May 14 - May 19,30.3,26.5,34.2,26.5 - 34.2,29.8-32.5
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Vermont,Vermont,3,May 14 - May 19,29.6,25.3,34.2,25.3 - 34.2,23.8-29.7
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Virginia,Virginia,3,May 14 - May 19,32.2,28.5,35.9,28.5 - 35.9,29.8-32.5
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Washington,Washington,3,May 14 - May 19,33,29.8,36.2,29.8 - 36.2,32.6-34.9
Symptoms of Anxiety Disorder or Depressive Disorder,By State,West Virginia,West Virginia,3,May 14 - May 19,34.3,27.4,41.6,27.4 - 41.6,32.6-34.9
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Wisconsin,Wisconsin,3,May 14 - May 19,28,23,33.4,23.0 - 33.4,23.8-29.7
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Wyoming,Wyoming,3,May 14 - May 19,28,21,35.8,21.0 - 35.8,23.8-29.7
Symptoms of Depressive Disorder,By State,Alabama,Alabama,4,May 21 - May 26,20.9,16.4,26.1,16.4 - 26.1,17.2-20.9
Symptoms of Depressive Disorder,By State,Alaska,Alaska,4,May 21 - May 26,26.8,22.6,31.3,22.6 - 31.3,25.9-31.1
Symptoms of Depressive Disorder,By State,Arizona,Arizona,4,May 21 - May 26,25.1,21.2,29.3,21.2 - 29.3,23.0-25.8
Symptoms of Depressive Disorder,By State,Arkansas,Arkansas,4,May 21 - May 26,23.8,19.6,28.4,19.6 - 28.4,23.0-25.8
Symptoms of Depressive Disorder,By State,California,California,4,May 21 - May 26,26.9,23.5,30.5,23.5 - 30.5,25.9-31.1
Symptoms of Depressive Disorder,By State,Colorado,Colorado,4,May 21 - May 26,25.5,21.8,29.5,21.8 - 29.5,23.0-25.8
Symptoms of Depressive Disorder,By State,Connecticut,Connecticut,4,May 21 - May 26,21,16.7,25.9,16.7 - 25.9,21.0-22.9
Symptoms of Depressive Disorder,By State,Delaware,Delaware,4,May 21 - May 26,22.7,18.3,27.6,18.3 - 27.6,21.0-22.9
Symptoms of Depressive Disorder,By State,District of Columbia,District of Columbia,4,May 21 - May 26,20.9,15.6,27,15.6 - 27.0,17.2-20.9
Symptoms of Depressive Disorder,By State,Florida,Florida,4,May 21 - May 26,28.6,25.8,31.6,25.8 - 31.6,25.9-31.1
Symptoms of Depressive Disorder,By State,Georgia,Georgia,4,May 21 - May 26,27.7,24.2,31.4,24.2 - 31.4,25.9-31.1
Symptoms of Depressive Disorder,By State,Hawaii,Hawaii,4,May 21 - May 26,18.5,14,23.7,14.0 - 23.7,17.2-20.9
Symptoms of Depressive Disorder,By State,Idaho,Idaho,4,May 21 - May 26,18.9,14.6,23.8,14.6 - 23.8,17.2-20.9
Symptoms of Depressive Disorder,By State,Illinois,Illinois,4,May 21 - May 26,24.2,20.5,28.3,20.5 - 28.3,23.0-25.8
Symptoms of Depressive Disorder,By State,Indiana,Indiana,4,May 21 - May 26,24.8,21.5,28.4,21.5 - 28.4,23.0-25.8
Symptoms of Depressive Disorder,By State,Iowa,Iowa,4,May 21 - May 26,17.6,13.7,22.1,13.7 - 22.1,17.2-20.9
Symptoms of Depressive Disorder,By State,Kansas,Kansas,4,May 21 - May 26,25.2,20.9,29.8,20.9 - 29.8,23.0-25.8
Symptoms of Depressive Disorder,By State,Kentucky,Kentucky,4,May 21 - May 26,23.2,19.1,27.8,19.1 - 27.8,23.0-25.8
Symptoms of Depressive Disorder,By State,Louisiana,Louisiana,4,May 21 - May 26,31.1,25.5,37.2,25.5 - 37.2,25.9-31.1
Symptoms of Depressive Disorder,By State,Maine,Maine,4,May 21 - May 26,18.5,14.9,22.6,14.9 - 22.6,17.2-20.9
Symptoms of Depressive Disorder,By State,Maryland,Maryland,4,May 21 - May 26,22.9,19.7,26.5,19.7 - 26.5,21.0-22.9
Symptoms of Depressive Disorder,By State,Massachusetts,Massachusetts,4,May 21 - May 26,20.3,16.9,24,16.9 - 24.0,17.2-20.9
Symptoms of Depressive Disorder,By State,Michigan,Michigan,4,May 21 - May 26,25.1,21.4,29.1,21.4 - 29.1,23.0-25.8
Symptoms of Depressive Disorder,By State,Minnesota,Minnesota,4,May 21 - May 26,17.7,14.1,21.8,14.1 - 21.8,17.2-20.9
Symptoms of Depressive Disorder,By State,Mississippi,Mississippi,4,May 21 - May 26,27.7,24,31.6,24.0 - 31.6,25.9-31.1
Symptoms of Depressive Disorder,By State,Missouri,Missouri,4,May 21 - May 26,24.3,19.6,29.5,19.6 - 29.5,23.0-25.8
Symptoms of Depressive Disorder,By State,Montana,Montana,4,May 21 - May 26,22.2,18.4,26.5,18.4 - 26.5,21.0-22.9
Symptoms of Depressive Disorder,By State,Nebraska,Nebraska,4,May 21 - May 26,17.2,13.9,20.8,13.9 - 20.8,17.2-20.9
Symptoms of Depressive Disorder,By State,Nevada,Nevada,4,May 21 - May 26,27.1,24.2,30.2,24.2 - 30.2,25.9-31.1
Symptoms of Depressive Disorder,By State,New Hampshire,New Hampshire,4,May 21 - May 26,22.2,18.4,26.3,18.4 - 26.3,21.0-22.9
Symptoms of Depressive Disorder,By State,New Jersey,New Jersey,4,May 21 - May 26,22.9,19.4,26.6,19.4 - 26.6,21.0-22.9
Symptoms of Depressive Disorder,By State,New Mexico,New Mexico,4,May 21 - May 26,28.7,24.2,33.5,24.2 - 33.5,25.9-31.1
Symptoms of Depressive Disorder,By State,New York,New York,4,May 21 - May 26,23.7,20,27.8,20.0 - 27.8,23.0-25.8
Symptoms of Depressive Disorder,By State,North Carolina,North Carolina,4,May 21 - May 26,22.1,18.5,26.1,18.5 - 26.1,21.0-22.9
Symptoms of Depressive Disorder,By State,North Dakota,North Dakota,4,May 21 - May 26,19.8,14.8,25.7,14.8 - 25.7,17.2-20.9
Symptoms of Depressive Disorder,By State,Ohio,Ohio,4,May 21 - May 26,27.4,23.5,31.6,23.5 - 31.6,25.9-31.1
Symptoms of Depressive Disorder,By State,Oklahoma,Oklahoma,4,May 21 - May 26,27.5,24.3,30.9,24.3 - 30.9,25.9-31.1
Symptoms of Depressive Disorder,By State,Oregon,Oregon,4,May 21 - May 26,24.2,21,27.6,21.0 - 27.6,23.0-25.8
Symptoms of Depressive Disorder,By State,Pennsylvania,Pennsylvania,4,May 21 - May 26,25.9,22.4,29.6,22.4 - 29.6,25.9-31.1
Symptoms of Depressive Disorder,By State,Rhode Island,Rhode Island,4,May 21 - May 26,21.4,17.1,26.4,17.1 - 26.4,21.0-22.9
Symptoms of Depressive Disorder,By State,South Carolina,South Carolina,4,May 21 - May 26,21.7,17.3,26.6,17.3 - 26.6,21.0-22.9
Symptoms of Depressive Disorder,By State,South Dakota,South Dakota,4,May 21 - May 26,25.8,21,31.1,21.0 - 31.1,23.0-25.8
Symptoms of Depressive Disorder,By State,Tennessee,Tennessee,4,May 21 - May 26,22.5,19.1,26.1,19.1 - 26.1,21.0-22.9
Symptoms of Depressive Disorder,By State,Texas,Texas,4,May 21 - May 26,28.8,25.1,32.8,25.1 - 32.8,25.9-31.1
Symptoms of Depressive Disorder,By State,Utah,Utah,4,May 21 - May 26,24.9,20.6,29.5,20.6 - 29.5,23.0-25.8
Symptoms of Depressive Disorder,By State,Vermont,Vermont,4,May 21 - May 26,19.4,14.8,24.7,14.8 - 24.7,17.2-20.9
Symptoms of Depressive Disorder,By State,Virginia,Virginia,4,May 21 - May 26,22.3,19.4,25.5,19.4 - 25.5,21.0-22.9
Symptoms of Depressive Disorder,By State,Washington,Washington,4,May 21 - May 26,22.2,19.2,25.5,19.2 - 25.5,21.0-22.9
Symptoms of Depressive Disorder,By State,West Virginia,West Virginia,4,May 21 - May 26,22,17.4,27.2,17.4 - 27.2,21.0-22.9
Symptoms of Depressive Disorder,By State,Wisconsin,Wisconsin,4,May 21 - May 26,20.8,16.5,25.6,16.5 - 25.6,17.2-20.9
Symptoms of Depressive Disorder,By State,Wyoming,Wyoming,4,May 21 - May 26,18.8,14.5,23.7,14.5 - 23.7,17.2-20.9
Symptoms of Anxiety Disorder,By State,Alabama,Alabama,4,May 21 - May 26,25.2,20.7,30.1,20.7 - 30.1,24.8-28.6
Symptoms of Anxiety Disorder,By State,Alaska,Alaska,4,May 21 - May 26,31.6,27,36.5,27.0 - 36.5,30.7-36.0
Symptoms of Anxiety Disorder,By State,Arizona,Arizona,4,May 21 - May 26,29.3,25.6,33.3,25.6 - 33.3,28.7-30.6
Symptoms of Anxiety Disorder,By State,Arkansas,Arkansas,4,May 21 - May 26,28.6,23.1,34.5,23.1 - 34.5,24.8-28.6
Symptoms of Anxiety Disorder,By State,California,California,4,May 21 - May 26,30.4,27.4,33.6,27.4 - 33.6,28.7-30.6
Symptoms of Anxiety Disorder,By State,Colorado,Colorado,4,May 21 - May 26,28.8,25.2,32.6,25.2 - 32.6,28.7-30.6
Symptoms of Anxiety Disorder,By State,Connecticut,Connecticut,4,May 21 - May 26,24.7,20.9,28.8,20.9 - 28.8,19.6-24.7
Symptoms of Anxiety Disorder,By State,Delaware,Delaware,4,May 21 - May 26,24.2,19.9,29,19.9 - 29.0,19.6-24.7
Symptoms of Anxiety Disorder,By State,District of Columbia,District of Columbia,4,May 21 - May 26,29.9,25,35.1,25.0 - 35.1,28.7-30.6
Symptoms of Anxiety Disorder,By State,Florida,Florida,4,May 21 - May 26,34.1,31.2,37.2,31.2 - 37.2,30.7-36.0
Symptoms of Anxiety Disorder,By State,Georgia,Georgia,4,May 21 - May 26,32.6,28.6,36.8,28.6 - 36.8,30.7-36.0
Symptoms of Anxiety Disorder,By State,Hawaii,Hawaii,4,May 21 - May 26,19.6,16.1,23.4,16.1 - 23.4,19.6-24.7
Symptoms of Anxiety Disorder,By State,Idaho,Idaho,4,May 21 - May 26,22.1,17.3,27.5,17.3 - 27.5,19.6-24.7
Symptoms of Anxiety Disorder,By State,Illinois,Illinois,4,May 21 - May 26,30.3,26.2,34.7,26.2 - 34.7,28.7-30.6
Symptoms of Anxiety Disorder,By State,Indiana,Indiana,4,May 21 - May 26,30.5,27.2,34,27.2 - 34.0,28.7-30.6
Symptoms of Anxiety Disorder,By State,Iowa,Iowa,4,May 21 - May 26,20.6,17.1,24.6,17.1 - 24.6,19.6-24.7
Symptoms of Anxiety Disorder,By State,Kansas,Kansas,4,May 21 - May 26,30.1,26.2,34.3,26.2 - 34.3,28.7-30.6
Symptoms of Anxiety Disorder,By State,Kentucky,Kentucky,4,May 21 - May 26,30.8,25.8,36.2,25.8 - 36.2,30.7-36.0
Symptoms of Anxiety Disorder,By State,Louisiana,Louisiana,4,May 21 - May 26,36,30.8,41.4,30.8 - 41.4,30.7-36.0
Symptoms of Anxiety Disorder,By State,Maine,Maine,4,May 21 - May 26,24.5,19.8,29.7,19.8 - 29.7,19.6-24.7
Symptoms of Anxiety Disorder,By State,Maryland,Maryland,4,May 21 - May 26,25.8,21.8,30,21.8 - 30.0,24.8-28.6
Symptoms of Anxiety Disorder,By State,Massachusetts,Massachusetts,4,May 21 - May 26,25.5,22,29.2,22.0 - 29.2,24.8-28.6
Symptoms of Anxiety Disorder,By State,Michigan,Michigan,4,May 21 - May 26,27.5,23.7,31.5,23.7 - 31.5,24.8-28.6
Symptoms of Anxiety Disorder,By State,Minnesota,Minnesota,4,May 21 - May 26,22.8,19.4,26.6,19.4 - 26.6,19.6-24.7
Symptoms of Anxiety Disorder,By State,Mississippi,Mississippi,4,May 21 - May 26,31.9,27.5,36.5,27.5 - 36.5,30.7-36.0
Symptoms of Anxiety Disorder,By State,Missouri,Missouri,4,May 21 - May 26,29,24.3,34.1,24.3 - 34.1,28.7-30.6
Symptoms of Anxiety Disorder,By State,Montana,Montana,4,May 21 - May 26,24.3,20,29,20.0 - 29.0,19.6-24.7
Symptoms of Anxiety Disorder,By State,Nebraska,Nebraska,4,May 21 - May 26,22.6,19.6,25.7,19.6 - 25.7,19.6-24.7
Symptoms of Anxiety Disorder,By State,Nevada,Nevada,4,May 21 - May 26,35.6,31.6,39.8,31.6 - 39.8,30.7-36.0
Symptoms of Anxiety Disorder,By State,New Hampshire,New Hampshire,4,May 21 - May 26,24.6,21,28.4,21.0 - 28.4,19.6-24.7
Symptoms of Anxiety Disorder,By State,New Jersey,New Jersey,4,May 21 - May 26,26.2,22.3,30.5,22.3 - 30.5,24.8-28.6
Symptoms of Anxiety Disorder,By State,New Mexico,New Mexico,4,May 21 - May 26,35.4,30.5,40.6,30.5 - 40.6,30.7-36.0
Symptoms of Anxiety Disorder,By State,New York,New York,4,May 21 - May 26,30.6,26.8,34.5,26.8 - 34.5,28.7-30.6
Symptoms of Anxiety Disorder,By State,North Carolina,North Carolina,4,May 21 - May 26,27.5,24.1,31.2,24.1 - 31.2,24.8-28.6
Symptoms of Anxiety Disorder,By State,North Dakota,North Dakota,4,May 21 - May 26,22.1,17,27.8,17.0 - 27.8,19.6-24.7
Symptoms of Anxiety Disorder,By State,Ohio,Ohio,4,May 21 - May 26,29.8,25.3,34.6,25.3 - 34.6,28.7-30.6
Symptoms of Anxiety Disorder,By State,Oklahoma,Oklahoma,4,May 21 - May 26,27.3,23.2,31.6,23.2 - 31.6,24.8-28.6
Symptoms of Anxiety Disorder,By State,Oregon,Oregon,4,May 21 - May 26,32.1,28.3,36.2,28.3 - 36.2,30.7-36.0
Symptoms of Anxiety Disorder,By State,Pennsylvania,Pennsylvania,4,May 21 - May 26,28,24.4,31.8,24.4 - 31.8,24.8-28.6
Symptoms of Anxiety Disorder,By State,Rhode Island,Rhode Island,4,May 21 - May 26,30.6,25.8,35.7,25.8 - 35.7,28.7-30.6
Symptoms of Anxiety Disorder,By State,South Carolina,South Carolina,4,May 21 - May 26,27,22.7,31.6,22.7 - 31.6,24.8-28.6
Symptoms of Anxiety Disorder,By State,South Dakota,South Dakota,4,May 21 - May 26,30.4,24.6,36.6,24.6 - 36.6,28.7-30.6
Symptoms of Anxiety Disorder,By State,Tennessee,Tennessee,4,May 21 - May 26,29.6,25.5,33.9,25.5 - 33.9,28.7-30.6
Symptoms of Anxiety Disorder,By State,Texas,Texas,4,May 21 - May 26,32.6,29,36.3,29.0 - 36.3,30.7-36.0
Symptoms of Anxiety Disorder,By State,Utah,Utah,4,May 21 - May 26,25.5,21.9,29.4,21.9 - 29.4,24.8-28.6
Symptoms of Anxiety Disorder,By State,Vermont,Vermont,4,May 21 - May 26,23.3,18.5,28.7,18.5 - 28.7,19.6-24.7
Symptoms of Anxiety Disorder,By State,Virginia,Virginia,4,May 21 - May 26,28.7,25.1,32.5,25.1 - 32.5,28.7-30.6
Symptoms of Anxiety Disorder,By State,Washington,Washington,4,May 21 - May 26,26.8,23.8,29.9,23.8 - 29.9,24.8-28.6
Symptoms of Anxiety Disorder,By State,West Virginia,West Virginia,4,May 21 - May 26,34.5,28.8,40.5,28.8 - 40.5,30.7-36.0
Symptoms of Anxiety Disorder,By State,Wisconsin,Wisconsin,4,May 21 - May 26,24.7,21,28.6,21.0 - 28.6,19.6-24.7
Symptoms of Anxiety Disorder,By State,Wyoming,Wyoming,4,May 21 - May 26,24,19.7,28.8,19.7 - 28.8,19.6-24.7
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Alabama,Alabama,4,May 21 - May 26,28.8,23.9,34,23.9 - 34.0,24.8-29.5
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Alaska,Alaska,4,May 21 - May 26,36.4,31.5,41.4,31.5 - 41.4,35.6-41.4
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Arizona,Arizona,4,May 21 - May 26,35.5,31.3,39.8,31.3 - 39.8,33.2-35.5
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Arkansas,Arkansas,4,May 21 - May 26,33.8,28.4,39.6,28.4 - 39.6,33.2-35.5
Symptoms of Anxiety Disorder or Depressive Disorder,By State,California,California,4,May 21 - May 26,36.2,32.8,39.7,32.8 - 39.7,35.6-41.4
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Colorado,Colorado,4,May 21 - May 26,33.5,29.8,37.4,29.8 - 37.4,33.2-35.5
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Connecticut,Connecticut,4,May 21 - May 26,28,23.5,32.7,23.5 - 32.7,24.8-29.5
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Delaware,Delaware,4,May 21 - May 26,31.1,26.6,35.9,26.6 - 35.9,29.6-33.1
Symptoms of Anxiety Disorder or Depressive Disorder,By State,District of Columbia,District of Columbia,4,May 21 - May 26,34.2,28.5,40.2,28.5 - 40.2,33.2-35.5
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Florida,Florida,4,May 21 - May 26,39.1,36.3,41.9,36.3 - 41.9,35.6-41.4
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Georgia,Georgia,4,May 21 - May 26,37.5,33.3,41.8,33.3 - 41.8,35.6-41.4
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Hawaii,Hawaii,4,May 21 - May 26,26.6,21.9,31.7,21.9 - 31.7,24.8-29.5
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Idaho,Idaho,4,May 21 - May 26,24.8,20,30.2,20.0 - 30.2,24.8-29.5
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Illinois,Illinois,4,May 21 - May 26,35.6,30.8,40.5,30.8 - 40.5,35.6-41.4
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Indiana,Indiana,4,May 21 - May 26,35.2,31.8,38.7,31.8 - 38.7,33.2-35.5
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Iowa,Iowa,4,May 21 - May 26,25.9,21.7,30.4,21.7 - 30.4,24.8-29.5
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Kansas,Kansas,4,May 21 - May 26,33.2,29.2,37.4,29.2 - 37.4,33.2-35.5
